SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,OPEN_INT,DATE
BANKNIFTY,2025-03-27,43500.0,PE,0.0,0.0,0.0,1021.2,8.0,0,2025-02-04
BANKNIFTY,2025-09-25,43500.0,CE,0.0,0.0,0.0,13997.45,8733.15,0,2025-02-04
BANKNIFTY,2025-03-27,61500.0,PE,0.0,0.0,0.0,8508.95,10765.75,1620,2025-02-04
BANKNIFTY,2025-03-27,56500.0,CE,38.95,45.8,38.95,45.8,45.8,2040,2025-02-04
BANKNIFTY,2025-02-27,56500.0,PE,6330.0,6330.0,6115.05,6115.05,6115.05,1890,2025-02-04
BANKNIFTY,2025-04-24,56500.0,CE,0.0,0.0,0.0,268.05,178.85,0,2025-02-04
BANKNIFTY,2025-04-24,56500.0,PE,0.0,0.0,0.0,6516.15,5701.45,0,2025-02-04
BANKNIFTY,2025-02-27,52200.0,CE,118.05,194.25,118.05,178.05,178.05,93210,2025-02-04
BANKNIFTY,2025-04-24,52200.0,PE,0.0,0.0,0.0,3119.6,2319.3,0,2025-02-04
BANKNIFTY,2025-03-27,48600.0,PE,620.0,620.0,469.4,472.35,472.35,1890,2025-02-04
BANKNIFTY,2025-02-27,48600.0,PE,439.25,439.25,268.5,283.35,283.35,102390,2025-02-04
BANKNIFTY,2025-04-24,45700.0,PE,0.0,0.0,0.0,412.7,147.2,0,2025-02-04
BANKNIFTY,2025-03-27,45700.0,CE,0.0,0.0,0.0,4212.45,4953.65,60,2025-02-04
BANKNIFTY,2025-04-24,45700.0,CE,0.0,0.0,0.0,4785.0,5267.95,0,2025-02-04
BANKNIFTY,2025-04-24,48300.0,CE,0.0,0.0,0.0,2917.6,3141.25,0,2025-02-04
BANKNIFTY,2025-03-27,48300.0,CE,2600.0,2600.0,2600.0,2600.0,2720.7,900,2025-02-04
BANKNIFTY,2025-02-27,44400.0,PE,30.0,30.0,17.3,18.35,18.35,43590,2025-02-04
BANKNIFTY,2025-02-27,48300.0,PE,350.0,364.15,217.85,229.8,229.8,130620,2025-02-04
BANKNIFTY,2025-02-27,45700.0,CE,0.0,0.0,0.0,7578.95,4659.55,0,2025-02-04
BANKNIFTY,2025-03-27,44400.0,CE,5667.25,5667.25,5667.25,5667.25,6195.25,60,2025-02-04
