date_in,date_out,strategy,symbol,direction,entry_price,exit_price,exit_reason,pnl,pnl_pct,score,phase,instrument
2024-06-28,2024-07-01,PCR_MeanReversion,BANKNIFTY 53100 CE,BUY,163.85,743.05,TARGET,573.5,350.01,79,in-sample,BANKNIFTY
2025-07-29,2025-07-31,IronFly,BANKNIFTY 57000 CE+PE,SELL,5009.1,6903.7,EXPIRY_SETTLE,-1907.77,-38.09,88,out-of-sample,BANKNIFTY
2024-01-03,2024-01-10,IronCondor,BANKNIFTY IC 48100/48300/47900/47700,SELL,47638.0,47564.6,EXPIRY_SETTLE,38.91,0.08,62,in-sample,BANKNIFTY
2024-01-09,2024-01-16,IronCondor,FINNIFTY IC 21550/21650/21450/21350,SELL,20945.45,103.55,EXPIRY_SETTLE,20827.43,99.44,59,in-sample,FINNIFTY
2024-01-10,2024-01-17,IronCondor,BANKNIFTY IC 48100/48300/47900/47700,SELL,47564.6,570.5,EXPIRY_SETTLE,46959.65,98.73,63,in-sample,BANKNIFTY
2024-01-16,2024-01-23,IronCondor,FINNIFTY IC 21550/21650/21450/21350,SELL,103.55,39098.8,EXPIRY_SETTLE,-38999.3,-37662.29,59,in-sample,FINNIFTY
2024-01-24,2024-01-30,IronCondor,FINNIFTY IC 20350/20450/20250/20150,SELL,173.1,20108.75,EXPIRY_SETTLE,-19939.74,-11519.2,59,in-sample,FINNIFTY
2024-02-06,2024-02-08,IronCondor,NIFTY IC 22050/22150/21950/21850,SELL,331.6,-21232.05,EXPIRY_SETTLE,21560.28,6501.9,65,in-sample,NIFTY
2024-02-07,2024-02-14,IronCondor,BANKNIFTY IC 46100/46300/45900/45700,SELL,45035.55,762.7,EXPIRY_SETTLE,44239.67,98.23,63,in-sample,BANKNIFTY
2024-02-13,2024-02-15,IronCondor,NIFTY IC 22050/22150/21950/21850,SELL,322.45,454.9,EXPIRY_SETTLE,-135.81,-42.12,65,in-sample,NIFTY
2024-02-14,2024-02-20,IronCondor,FINNIFTY IC 20250/20350/20150/20050,SELL,298.7,-20138.6,EXPIRY_SETTLE,20433.15,6840.69,59,in-sample,FINNIFTY
2024-02-21,2024-02-27,IronCondor,FINNIFTY IC 20550/20650/20450/20350,SELL,257.75,150.0,EXPIRY_SETTLE,103.62,40.2,59,in-sample,FINNIFTY
2024-02-27,2024-02-29,IronCondor,BANKNIFTY IC 47100/47300/46900/46700,SELL,1059.85,126.15,EXPIRY_SETTLE,922.5,87.04,69,in-sample,BANKNIFTY
2024-02-28,2024-03-06,IronCondor,BANKNIFTY IC 47100/47300/46900/46700,SELL,828.35,136.3,EXPIRY_SETTLE,680.97,82.21,63,in-sample,BANKNIFTY
2024-03-05,2024-03-06,IronCondor,NIFTY IC 22250/22350/22150/22050,SELL,36.95,55.95,STOP,-22.22,-60.13,65,in-sample,NIFTY
2024-03-06,2024-03-13,IronCondor,BANKNIFTY IC 47600/47800/47400/47200,SELL,48095.5,-45184.95,EXPIRY_SETTLE,93245.74,193.88,63,in-sample,BANKNIFTY
2024-03-13,2024-03-14,IronCondor,FINNIFTY IC 20950/21050/20850/20750,SELL,147.8,235.65,STOP,-91.92,-62.19,59,in-sample,FINNIFTY
2024-03-19,2024-03-26,IronCondor,FINNIFTY IC 20750/20850/20650/20550,SELL,20307.7,-20289.55,EXPIRY_SETTLE,40583.1,199.84,59,in-sample,FINNIFTY
2024-03-20,2024-03-27,IronCondor,BANKNIFTY IC 46600/46800/46400/46200,SELL,45834.15,332.85,EXPIRY_SETTLE,45467.72,99.2,63,in-sample,BANKNIFTY
2024-03-27,2024-04-02,IronCondor,BANKNIFTY IC 48200/48400/48000/47800,SELL,272.3,2045.1,STOP,-1783.6,-655.01,64,in-sample,BANKNIFTY
2024-04-02,2024-04-09,IronCondor,FINNIFTY IC 21550/21650/21450/21350,SELL,41858.5,-21227.95,EXPIRY_SETTLE,63061.52,150.65,60,in-sample,FINNIFTY
2024-04-09,2024-04-10,IronCondor,BANKNIFTY IC 48600/48800/48400/48200,SELL,464.1,48314.25,STOP,-47861.05,-10312.66,63,in-sample,BANKNIFTY
2024-04-16,2024-04-18,IronCondor,NIFTY IC 22750/22850/22650/22550,SELL,186.5,-21504.8,EXPIRY_SETTLE,21688.01,11628.96,65,in-sample,NIFTY
2024-04-16,2024-04-23,IronCondor,FINNIFTY IC 22450/22550/22350/22250,SELL,1154.35,21438.1,EXPIRY_SETTLE,-20288.33,-1757.55,59,in-sample,FINNIFTY
2024-04-18,2024-04-24,IronCondor,BANKNIFTY IC 48100/48300/47900/47700,SELL,339.55,-1170.6,EXPIRY_SETTLE,1499.31,441.56,63,in-sample,BANKNIFTY
2024-04-30,2024-05-07,IronCondor,FINNIFTY IC 21550/21650/21450/21350,SELL,175.4,-21275.25,EXPIRY_SETTLE,21446.56,12227.23,59,in-sample,FINNIFTY
2024-05-08,2024-05-15,IronCondor,BANKNIFTY IC 49100/49300/48900/48700,SELL,48472.8,93600.9,EXPIRY_SETTLE,-45163.0,-93.17,64,in-sample,BANKNIFTY
2024-05-22,2024-05-23,IronCondor,BANKNIFTY IC 48100/48300/47900/47700,SELL,77.6,640.3,STOP,-573.41,-738.92,63,in-sample,BANKNIFTY
2024-05-22,2024-05-28,IronCondor,FINNIFTY IC 21550/21650/21450/21350,SELL,94.1,76.75,EXPIRY_SETTLE,13.3,14.14,59,in-sample,FINNIFTY
2024-05-29,2024-06-05,IronCondor,BANKNIFTY IC 49100/49300/48900/48700,SELL,1620.7,2250.9,EXPIRY_SETTLE,-641.68,-39.59,64,in-sample,BANKNIFTY
2024-06-04,2024-06-11,IronCondor,FINNIFTY IC 23050/23150/22950/22850,SELL,20903.25,21322.4,EXPIRY_SETTLE,-433.6,-2.07,59,in-sample,FINNIFTY
2024-06-11,2024-06-12,IronCondor,NIFTY IC 24050/24150/23950/23850,SELL,223.75,695.6,STOP,-475.16,-212.36,66,in-sample,NIFTY
2024-06-11,2024-06-18,IronCondor,FINNIFTY IC 22050/22150/21950/21850,SELL,250.6,-60.65,EXPIRY_SETTLE,307.12,122.56,65,in-sample,FINNIFTY
2024-06-19,2024-06-26,IronCondor,BANKNIFTY IC 50100/50300/49900/49700,SELL,50463.85,265.7,EXPIRY_SETTLE,50162.25,99.4,63,in-sample,BANKNIFTY
2024-06-25,2024-06-27,IronCondor,NIFTY IC 23050/23150/22950/22850,SELL,163.1,158.25,EXPIRY_SETTLE,1.57,0.96,65,in-sample,NIFTY
2024-06-26,2024-07-03,IronCondor,BANKNIFTY IC 52100/52300/51900/51700,SELL,798.0,-1767.2,EXPIRY_SETTLE,2554.13,320.07,64,in-sample,BANKNIFTY
2024-07-02,2024-07-04,IronCondor,NIFTY IC 25050/25150/24950/24850,SELL,240.75,23970.7,EXPIRY_SETTLE,-23733.27,-9858.06,66,in-sample,NIFTY
2024-07-02,2024-07-09,IronCondor,FINNIFTY IC 23550/23650/23450/23350,SELL,22740.2,-23263.05,EXPIRY_SETTLE,45987.88,202.23,62,in-sample,FINNIFTY
2024-07-10,2024-07-16,IronCondor,FINNIFTY IC 23750/23850/23650/23550,SELL,278.75,-140.8,EXPIRY_SETTLE,415.41,149.03,59,in-sample,FINNIFTY
2024-07-16,2024-07-22,IronCondor,FINNIFTY IC 25050/25150/24950/24850,SELL,75.65,155.25,STOP,-83.64,-110.56,59,in-sample,FINNIFTY
2024-07-18,2024-07-24,IronCondor,BANKNIFTY IC 52600/52800/52400/52200,SELL,1375.15,-50994.95,EXPIRY_SETTLE,52358.75,3807.49,63,in-sample,BANKNIFTY
2024-07-23,2024-07-30,IronCondor,FINNIFTY IC 23650/23750/23550/23450,SELL,127.1,165.25,EXPIRY_SETTLE,-42.21,-33.21,59,in-sample,FINNIFTY
2024-07-24,2024-07-30,IronCondor,BANKNIFTY IC 51100/51300/50900/50700,SELL,109.05,1296.45,STOP,-1198.12,-1098.69,62,in-sample,BANKNIFTY
2024-07-31,2024-08-02,IronCondor,BANKNIFTY IC 51600/51800/51400/51200,SELL,68.75,2001.9,STOP,-1943.85,-2827.42,63,in-sample,BANKNIFTY
2024-08-06,2024-08-08,IronCondor,NIFTY IC 26050/26150/25950/25850,SELL,77.35,360.9,EXPIRY_SETTLE,-286.79,-370.77,66,in-sample,NIFTY
2024-08-07,2024-08-14,IronCondor,NIFTY IC 24050/24150/23950/23850,SELL,481.9,23782.65,EXPIRY_SETTLE,-23304.19,-4835.9,59,in-sample,NIFTY
2024-08-07,2024-08-09,IronCondor,BANKNIFTY IC 50100/50300/49900/49700,SELL,165.55,661.25,STOP,-506.45,-305.92,63,in-sample,BANKNIFTY
2024-08-20,2024-08-21,IronCondor,FINNIFTY IC 23050/23150/22950/22850,SELL,92.8,285.5,STOP,-196.75,-212.01,59,in-sample,FINNIFTY
2024-08-21,2024-08-28,IronCondor,BANKNIFTY IC 51100/51300/50900/50700,SELL,1110.5,-50627.05,EXPIRY_SETTLE,51726.33,4657.93,63,in-sample,BANKNIFTY
2024-09-04,2024-09-11,IronCondor,BANKNIFTY IC 51600/51800/51400/51200,SELL,50301.0,31.9,EXPIRY_SETTLE,50233.28,99.87,63,in-sample,BANKNIFTY
2024-09-10,2024-09-12,IronCondor,FINNIFTY IC 25050/25150/24950/24850,SELL,115.45,266.4,STOP,-155.01,-134.26,59,in-sample,FINNIFTY
2024-09-18,2024-09-19,IronCondor,BANKNIFTY IC 52100/52300/51900/51700,SELL,213.45,1351.0,STOP,-1148.32,-537.98,63,in-sample,BANKNIFTY
2024-09-24,2024-09-26,IronCondor,NIFTY IC 25050/25150/24950/24850,SELL,606.1,0.35,EXPIRY_SETTLE,602.25,99.36,66,in-sample,NIFTY
2024-10-03,2024-10-09,IronCondor,BANKNIFTY IC 53100/53300/52900/52700,SELL,942.35,1075.65,EXPIRY_SETTLE,-144.44,-15.33,63,in-sample,BANKNIFTY
2024-10-09,2024-10-15,IronCondor,FINNIFTY IC 23550/23650/23450/23350,SELL,287.95,-23749.45,EXPIRY_SETTLE,24033.26,8346.33,59,in-sample,FINNIFTY
2024-10-15,2024-10-16,IronCondor,FINNIFTY IC 24050/24150/23950/23850,SELL,67.85,246.15,STOP,-182.33,-268.73,60,in-sample,FINNIFTY
2024-10-16,2024-10-23,IronCondor,BANKNIFTY IC 52100/52300/51900/51700,SELL,1263.15,1942.4,EXPIRY_SETTLE,-690.55,-54.67,63,in-sample,BANKNIFTY
2024-10-23,2024-10-30,IronCondor,BANKNIFTY IC 52100/52300/51900/51700,SELL,1942.4,-344.05,EXPIRY_SETTLE,2274.81,117.11,63,in-sample,BANKNIFTY
2024-11-06,2024-11-08,IronCondor,BANKNIFTY IC 52100/52300/51900/51700,SELL,448.15,826.4,STOP,-389.14,-86.83,63,in-sample,BANKNIFTY
2024-11-12,2024-11-19,IronCondor,FINNIFTY IC 24050/24150/23950/23850,SELL,46685.05,46302.3,EXPIRY_SETTLE,355.41,0.76,59,in-sample,FINNIFTY
2024-12-17,2024-12-19,IronCondor,BANKNIFTY IC 54100/54300/53900/53700,SELL,96.05,827.2,STOP,-741.86,-772.37,63,in-sample,BANKNIFTY
2024-12-24,2024-12-31,IronCondor,FINNIFTY IC 25050/25150/24950/24850,SELL,156.35,0.0,EXPIRY_SETTLE,152.27,97.39,60,in-sample,FINNIFTY
2025-01-07,2025-01-08,IronCondor,NIFTY IC 25050/25150/24950/24850,SELL,185.65,279.3,STOP,-96.94,-52.22,66,in-sample,NIFTY
2025-01-21,2025-01-23,IronCondor,NIFTY IC 22050/22150/21950/21850,SELL,341.2,-258.35,EXPIRY_SETTLE,596.18,174.73,66,in-sample,NIFTY
2025-01-28,2025-01-30,IronCondor,NIFTY IC 24050/24150/23950/23850,SELL,167.95,-22913.7,EXPIRY_SETTLE,23078.37,13741.21,66,in-sample,NIFTY
2025-01-28,2025-01-30,IronCondor,FINNIFTY IC 24050/24150/23950/23850,SELL,100.05,0.0,EXPIRY_SETTLE,96.0,95.95,66,in-sample,FINNIFTY
2025-02-04,2025-02-06,IronCondor,NIFTY IC 24050/24150/23950/23850,SELL,90.65,199.95,EXPIRY_SETTLE,-112.55,-124.15,65,in-sample,NIFTY
2025-02-18,2025-02-20,IronCondor,NIFTY IC 24050/24150/23950/23850,SELL,238.9,21849.65,EXPIRY_SETTLE,-21614.07,-9047.33,67,in-sample,NIFTY
2025-02-25,2025-02-27,IronCondor,BANKNIFTY IC 50100/50300/49900/49700,SELL,642.45,-95507.2,EXPIRY_SETTLE,96138.66,14964.38,71,in-sample,BANKNIFTY
2025-02-25,2025-02-27,IronCondor,FINNIFTY IC 23550/23650/23450/23350,SELL,101.15,0.0,EXPIRY_SETTLE,97.1,96.0,65,in-sample,FINNIFTY
2025-03-04,2025-03-06,IronCondor,NIFTY IC 22550/22650/22450/22350,SELL,39.9,529.95,EXPIRY_SETTLE,-493.27,-1236.27,65,in-sample,NIFTY
2025-03-11,2025-03-13,IronCondor,NIFTY IC 23050/23150/22950/22850,SELL,186.0,-180.3,EXPIRY_SETTLE,363.01,195.17,65,in-sample,NIFTY
2025-03-25,2025-03-26,IronCondor,NIFTY IC 23050/23150/22950/22850,SELL,278.05,580.05,STOP,-305.34,-109.81,65,in-sample,NIFTY
2025-03-25,2025-03-27,IronCondor,BANKNIFTY IC 49100/49300/48900/48700,SELL,1233.8,-387.0,EXPIRY_SETTLE,1609.52,130.45,75,in-sample,BANKNIFTY
2025-03-25,2025-03-27,IronCondor,FINNIFTY IC 24850/24950/24750/24650,SELL,83.45,0.0,EXPIRY_SETTLE,79.41,95.16,65,in-sample,FINNIFTY
