Strategy,Backtest Period,Total Trades,Win Rate,Profit Factor,Max Drawdown,Sharpe Ratio,Calmar Ratio,Total P&L,Avg P&L / Trade,Best Trade,Worst Trade,Avg Hold (days),Signal Credibility
PCR_MeanReversion_W1,N/A → N/A,0,0.0%,0.00,0.00%,0.00,0.00,₹0,₹0,₹0,₹0,0.0,UNRELIABLE (no trades)
PCR_MeanReversion_W2,N/A → N/A,0,0.0%,0.00,0.00%,0.00,0.00,₹0,₹0,₹0,₹0,0.0,UNRELIABLE (no trades)
PCR_MeanReversion_W3,N/A → N/A,0,0.0%,0.00,0.00%,0.00,0.00,₹0,₹0,₹0,₹0,0.0,UNRELIABLE (no trades)
PCR_MeanReversion_W4,N/A → N/A,0,0.0%,0.00,0.00%,0.00,0.00,₹0,₹0,₹0,₹0,0.0,UNRELIABLE (no trades)
PCR_MeanReversion_W5,2024-06-28 → 2024-07-01,1,100.0%,inf,0.00%,0.00,0.00,"₹28,675","₹28,675","₹28,675","₹28,675",3.0,UNRELIABLE (insufficient trades)
IronFly_W1,N/A → N/A,0,0.0%,0.00,0.00%,0.00,0.00,₹0,₹0,₹0,₹0,0.0,UNRELIABLE (no trades)
IronFly_W2,N/A → N/A,0,0.0%,0.00,0.00%,0.00,0.00,₹0,₹0,₹0,₹0,0.0,UNRELIABLE (no trades)
IronFly_W3,N/A → N/A,0,0.0%,0.00,0.00%,0.00,0.00,₹0,₹0,₹0,₹0,0.0,UNRELIABLE (no trades)
IronFly_W4,N/A → N/A,0,0.0%,0.00,0.00%,0.00,0.00,₹0,₹0,₹0,₹0,0.0,UNRELIABLE (no trades)
IronFly_W5,2025-07-29 → 2025-07-31,1,0.0%,0.00,0.00%,0.00,0.00,"₹-95,388","₹-95,388","₹-95,388","₹-95,388",2.0,UNRELIABLE (insufficient trades)
IronCondor_W1,2024-01-03 → 2024-04-09,19,68.4%,6.53,86.90%,9.20,9999.00,"₹16,857,584","₹887,241","₹4,662,287","₹-1,949,965",5.4,WEAK
IronCondor_W2,2024-04-09 → 2024-07-22,19,52.6%,1.03,84.09%,0.17,9999.00,"₹241,120","₹12,691","₹2,508,112","₹-2,393,052",5.1,WEAK
IronCondor_W3,2024-07-18 → 2024-11-08,19,31.6%,6.00,52.48%,6.20,9999.00,"₹7,552,026","₹397,475","₹2,617,938","₹-1,165,210",4.3,UNRELIABLE (random noise)
IronCondor_W4,2024-11-12 → 2025-05-15,19,68.4%,8.56,208.73%,5.87,9999.00,"₹8,834,767","₹464,988","₹4,806,933","₹-1,080,704",2.4,WEAK
IronCondor_W5,2025-05-27 → 2025-12-30,19,63.2%,0.84,127.88%,-0.61,-999.00,"₹-1,069,652","₹-56,297","₹2,699,489","₹-5,335,733",4.2,UNRELIABLE (random noise)
EMA_Crossover_W1,2024-05-24 → 2025-05-28,1,100.0%,inf,0.00%,0.00,0.00,"₹8,438","₹8,438","₹8,438","₹8,438",369.0,UNRELIABLE (insufficient trades)
EMA_Crossover_W2,2024-11-14 → 2024-11-27,1,0.0%,0.00,0.00%,0.00,0.00,"₹-792,027","₹-792,027","₹-792,027","₹-792,027",13.0,UNRELIABLE (insufficient trades)
EMA_Crossover_W3,2025-04-09 → 2025-05-28,1,0.0%,0.00,0.00%,0.00,0.00,"₹-97,160","₹-97,160","₹-97,160","₹-97,160",49.0,UNRELIABLE (insufficient trades)
EMA_Crossover_W4,2025-04-11 → 2025-04-17,1,0.0%,0.00,0.00%,0.00,0.00,"₹-103,262","₹-103,262","₹-103,262","₹-103,262",6.0,UNRELIABLE (insufficient trades)
EMA_Crossover_W5,2025-04-21 → 2025-05-28,1,100.0%,inf,0.00%,0.00,0.00,₹714,₹714,₹714,₹714,37.0,UNRELIABLE (insufficient trades)
